images,labels
./Identify/images/train\China_Drone_000005.jpg,"['1 0.20703125 0.5478515625 0.41015625 0.056640625\n', '0 0.2861328125 0.6796875 0.060546875 0.578125\n']"
./Identify/images/train\China_Drone_000008.jpg,['1 0.4052734375 0.783203125 0.591796875 0.1953125\n']
./Identify/images/train\China_Drone_000012.jpg,['2 0.4365234375 0.669921875 0.537109375 0.09375\n']
./Identify/images/train\China_Drone_000015.jpg,['0 0.947265625 0.8427734375 0.0859375 0.314453125\n']
./Identify/images/train\China_Drone_000016.jpg,['1 0.66015625 0.736328125 0.6796875 0.19921875\n']
./Identify/images/train\China_Drone_000022.jpg,"['1 0.7265625 0.55859375 0.546875 0.07421875\n', '0 0.6708984375 0.2734375 0.083984375 0.54296875\n']"
./Identify/images/train\China_Drone_000024.jpg,"['0 0.0576171875 0.5009765625 0.060546875 0.998046875\n', '0 0.150390625 0.09765625 0.1484375 0.19140625\n']"
./Identify/images/train\China_Drone_000027.jpg,"['0 0.951171875 0.205078125 0.09765625 0.40625\n', '0 0.9638671875 0.8994140625 0.072265625 0.201171875\n']"
./Identify/images/train\China_Drone_000030.jpg,"['1 0.3720703125 0.310546875 0.455078125 0.08203125\n', '1 0.7744140625 0.2509765625 0.150390625 0.048828125\n']"
./Identify/images/train\China_Drone_000032.jpg,"['1 0.2490234375 0.7373046875 0.263671875 0.056640625\n', '0 0.1396484375 0.6416015625 0.048828125 0.158203125\n']"
./Identify/images/train\China_Drone_000043.jpg,['1 0.685546875 0.4951171875 0.625 0.076171875\n']
./Identify/images/train\China_Drone_000054.jpg,['1 0.7412109375 0.48828125 0.517578125 0.1015625\n']
./Identify/images/train\China_Drone_000060.jpg,['1 0.5009765625 0.1982421875 0.998046875 0.158203125\n']
./Identify/images/train\China_Drone_000068.jpg,"['0 0.3837890625 0.109375 0.044921875 0.21484375\n', '0 0.3408203125 0.689453125 0.044921875 0.62109375\n', '0 0.2587890625 0.701171875 0.048828125 0.39453125\n']"
./Identify/images/train\China_Drone_000075.jpg,['1 0.318359375 0.4970703125 0.11328125 0.044921875\n']
./Identify/images/train\China_Drone_000076.jpg,['1 0.787109375 0.546875 0.42578125 0.10546875\n']
./Identify/images/train\China_Drone_000079.jpg,"['0 0.7255859375 0.5009765625 0.138671875 0.998046875\n', '1 0.90234375 0.876953125 0.1953125 0.05859375\n', '0 0.609375 0.5537109375 0.09765625 0.892578125\n']"
./Identify/images/train\China_Drone_000081.jpg,['2 0.126953125 0.296875 0.25 0.34375\n']
./Identify/images/train\China_Drone_000082.jpg,"['1 0.373046875 0.7841796875 0.125 0.029296875\n', '0 0.064453125 0.6474609375 0.05078125 0.361328125\n', '1 0.1240234375 0.943359375 0.228515625 0.0390625\n', '1 0.359375 0.93359375 0.1015625 0.04296875\n']"
./Identify/images/train\China_Drone_000083.jpg,['1 0.4228515625 0.8447265625 0.841796875 0.115234375\n']
./Identify/images/train\China_Drone_000088.jpg,"['0 0.248046875 0.322265625 0.04296875 0.2734375\n', '0 0.28515625 0.0771484375 0.046875 0.150390625\n']"
./Identify/images/train\China_Drone_000093.jpg,['0 0.23828125 0.3037109375 0.078125 0.318359375\n']
./Identify/images/train\China_Drone_000094.jpg,['1 0.4296875 0.7392578125 0.15625 0.052734375\n']
./Identify/images/train\China_Drone_000095.jpg,['1 0.091796875 0.7685546875 0.17578125 0.033203125\n']
./Identify/images/train\China_Drone_000097.jpg,['1 0.587890625 0.24609375 0.82421875 0.21484375\n']
./Identify/images/train\China_Drone_000098.jpg,"['0 0.40625 0.2470703125 0.07421875 0.490234375\n', '0 0.4013671875 0.90625 0.076171875 0.1875\n']"
./Identify/images/train\China_Drone_000099.jpg,['0 0.3486328125 0.564453125 0.373046875 0.49609375\n']
./Identify/images/train\China_Drone_000107.jpg,"['0 0.6640625 0.884765625 0.05078125 0.23046875\n', '1 0.8505859375 0.0791015625 0.298828125 0.072265625\n', '0 0.7001953125 0.1806640625 0.056640625 0.357421875\n', '1 0.251953125 0.08203125 0.15234375 0.046875\n']"
./Identify/images/train\China_Drone_000108.jpg,['0 0.7353515625 0.15234375 0.048828125 0.28125\n']
./Identify/images/train\China_Drone_000109.jpg,"['0 0.4619140625 0.5146484375 0.119140625 0.830078125\n', '0 0.3515625 0.2158203125 0.09765625 0.068359375\n']"
./Identify/images/train\China_Drone_000112.jpg,"['0 0.81640625 0.62109375 0.05859375 0.2421875\n', '2 0.79296875 0.7861328125 0.19140625 0.166015625\n']"
./Identify/images/train\China_Drone_000114.jpg,"['1 0.0830078125 0.0810546875 0.162109375 0.044921875\n', '0 0.0849609375 0.4443359375 0.138671875 0.884765625\n']"
./Identify/images/train\China_Drone_000119.jpg,['0 0.291015625 0.6572265625 0.04296875 0.263671875\n']
./Identify/images/train\China_Drone_000123.jpg,"['1 0.2841796875 0.29296875 0.505859375 0.08984375\n', '1 0.705078125 0.2353515625 0.15625 0.048828125\n']"
./Identify/images/train\China_Drone_000129.jpg,"['0 0.5830078125 0.5595703125 0.123046875 0.560546875\n', '0 0.8828125 0.130859375 0.06640625 0.2578125\n']"
./Identify/images/train\China_Drone_000130.jpg,"['0 0.4482421875 0.2724609375 0.068359375 0.294921875\n', '0 0.6318359375 0.5009765625 0.169921875 0.998046875\n']"
./Identify/images/train\China_Drone_000131.jpg,['0 0.7470703125 0.232421875 0.162109375 0.08203125\n']
./Identify/images/train\China_Drone_000132.jpg,['1 0.4345703125 0.7119140625 0.865234375 0.091796875\n']
./Identify/images/train\China_Drone_000136.jpg,['3 0.6240234375 0.138671875 0.189453125 0.1328125\n']
./Identify/images/train\China_Drone_000138.jpg,['1 0.408203125 0.3193359375 0.8125 0.087890625\n']
./Identify/images/train\China_Drone_000139.jpg,['1 0.5009765625 0.6201171875 0.998046875 0.115234375\n']
./Identify/images/train\China_Drone_000141.jpg,['2 0.486328125 0.744140625 0.875 0.3671875\n']
./Identify/images/train\China_Drone_000144.jpg,['1 0.3798828125 0.7197265625 0.568359375 0.138671875\n']
./Identify/images/train\China_Drone_000147.jpg,['1 0.13671875 0.77734375 0.26953125 0.05859375\n']
./Identify/images/train\China_Drone_000153.jpg,['2 0.1962890625 0.388671875 0.388671875 0.7734375\n']
./Identify/images/train\China_Drone_000155.jpg,['1 0.703125 0.5634765625 0.59375 0.150390625\n']
./Identify/images/train\China_Drone_000157.jpg,['0 0.888671875 0.8193359375 0.22265625 0.361328125\n']
./Identify/images/train\China_Drone_000158.jpg,"['1 0.244140625 0.28125 0.484375 0.06640625\n', '2 0.1162109375 0.064453125 0.228515625 0.125\n']"
./Identify/images/train\China_Drone_000159.jpg,"['0 0.3212890625 0.1533203125 0.052734375 0.302734375\n', '0 0.3330078125 0.74609375 0.048828125 0.3046875\n']"
./Identify/images/train\China_Drone_000161.jpg,['2 0.4052734375 0.4755859375 0.158203125 0.369140625\n']
./Identify/images/train\China_Drone_000162.jpg,['2 0.041015625 0.9248046875 0.078125 0.091796875\n']
./Identify/images/train\China_Drone_000164.jpg,['1 0.521484375 0.185546875 0.359375 0.078125\n']
./Identify/images/train\China_Drone_000166.jpg,"['0 0.3115234375 0.736328125 0.041015625 0.52734375\n', '0 0.4326171875 0.7353515625 0.068359375 0.529296875\n', '0 0.4169921875 0.2314453125 0.048828125 0.458984375\n']"
./Identify/images/train\China_Drone_000167.jpg,"['0 0.6787109375 0.3251953125 0.189453125 0.646484375\n', '0 0.681640625 0.90234375 0.046875 0.1953125\n', '0 0.912109375 0.912109375 0.17578125 0.1015625\n', '0 0.6650390625 0.6953125 0.158203125 0.10546875\n', '0 0.11328125 0.71875 0.06640625 0.2890625\n', '0 0.041015625 0.6298828125 0.078125 0.220703125\n']"
./Identify/images/train\China_Drone_000168.jpg,['0 0.3876953125 0.1552734375 0.208984375 0.283203125\n']
./Identify/images/train\China_Drone_000169.jpg,"['0 0.55859375 0.669921875 0.03125 0.390625\n', '1 0.55078125 0.873046875 0.29296875 0.04296875\n']"
./Identify/images/train\China_Drone_000173.jpg,['1 0.4453125 0.4755859375 0.88671875 0.392578125\n']
./Identify/images/train\China_Drone_000174.jpg,['0 0.2412109375 0.814453125 0.044921875 0.37109375\n']
./Identify/images/train\China_Drone_000175.jpg,['1 0.7734375 0.9384765625 0.41015625 0.087890625\n']
./Identify/images/train\China_Drone_000178.jpg,['1 0.4560546875 0.73046875 0.888671875 0.07421875\n']
./Identify/images/train\China_Drone_000183.jpg,['1 0.3515625 0.3408203125 0.21484375 0.064453125\n']
./Identify/images/train\China_Drone_000186.jpg,['1 0.3173828125 0.13671875 0.611328125 0.17578125\n']
./Identify/images/train\China_Drone_000187.jpg,['1 0.66015625 0.4033203125 0.671875 0.236328125\n']
./Identify/images/train\China_Drone_000189.jpg,"['1 0.1845703125 0.8056640625 0.365234375 0.056640625\n', '1 0.5244140625 0.814453125 0.232421875 0.07421875\n']"
./Identify/images/train\China_Drone_000191.jpg,['2 0.41015625 0.77734375 0.3046875 0.35546875\n']
./Identify/images/train\China_Drone_000192.jpg,['2 0.630859375 0.197265625 0.67578125 0.33203125\n']
./Identify/images/train\China_Drone_000194.jpg,['2 0.3427734375 0.48828125 0.513671875 0.97265625\n']
./Identify/images/train\China_Drone_000195.jpg,"['0 0.9541015625 0.7900390625 0.091796875 0.419921875\n', '0 0.939453125 0.291015625 0.08984375 0.578125\n']"
./Identify/images/train\China_Drone_000197.jpg,['0 0.7158203125 0.3984375 0.056640625 0.44921875\n']
./Identify/images/train\China_Drone_000202.jpg,['2 0.8232421875 0.236328125 0.353515625 0.46875\n']
./Identify/images/train\China_Drone_000205.jpg,"['0 0.328125 0.5751953125 0.37890625 0.427734375\n', '3 0.3056640625 0.189453125 0.087890625 0.109375\n', '2 0.1103515625 0.0751953125 0.216796875 0.146484375\n', '0 0.5244140625 0.138671875 0.251953125 0.1953125\n']"
./Identify/images/train\China_Drone_000209.jpg,"['0 0.1845703125 0.2119140625 0.044921875 0.419921875\n', '1 0.7802734375 0.791015625 0.138671875 0.04296875\n']"
./Identify/images/train\China_Drone_000210.jpg,['0 0.3154296875 0.5009765625 0.087890625 0.998046875\n']
./Identify/images/train\China_Drone_000219.jpg,['2 0.83984375 0.5009765625 0.3203125 0.998046875\n']
./Identify/images/train\China_Drone_000222.jpg,['0 0.296875 0.37890625 0.234375 0.75390625\n']
./Identify/images/train\China_Drone_000225.jpg,['0 0.2666015625 0.3955078125 0.111328125 0.447265625\n']
./Identify/images/train\China_Drone_000227.jpg,"['0 0.609375 0.2939453125 0.0625 0.583984375\n', '0 0.6142578125 0.7734375 0.060546875 0.453125\n']"
./Identify/images/train\China_Drone_000230.jpg,"['0 0.7783203125 0.7744140625 0.099609375 0.447265625\n', '0 0.908203125 0.4052734375 0.18359375 0.291015625\n']"
./Identify/images/train\China_Drone_000232.jpg,['0 0.6318359375 0.7763671875 0.068359375 0.447265625\n']
./Identify/images/train\China_Drone_000238.jpg,['1 0.2607421875 0.916015625 0.333984375 0.078125\n']
./Identify/images/train\China_Drone_000240.jpg,['0 0.82421875 0.552734375 0.07421875 0.8515625\n']
./Identify/images/train\China_Drone_000248.jpg,"['1 0.181640625 0.4970703125 0.359375 0.072265625\n', '1 0.541015625 0.5712890625 0.41015625 0.076171875\n', '1 0.8564453125 0.5927734375 0.287109375 0.076171875\n', '0 0.6162109375 0.46484375 0.041015625 0.13671875\n', '0 0.3076171875 0.18359375 0.041015625 0.36328125\n']"
